file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\15CTT.wav,0 days,0 days 00:00:42.658000,33.830505,0.09732256,32.147152,34.041763,35.500378,3.3532257,293.55856,515.7453,34.17972,35.801147,0.22374058,1.1747066,0.015272019,0.09648578,0.4289475,0.4136755,4.6103244,2.7821882,3.1635323,2.0271022,0.08327977,1.0426356,25.336544,0.5507641,14.473755,0.89177054,3.8669899,4.405379,4.690411,3.069612,0.015483264,1.8390511,0.91303074,0.8614466,8.367355,0.33655542,0.88421535,14.968343,27.989136,0.43172812,525.5757,0.30893102,1348.2207,0.1612498,-127.62314,-0.74184436,1561.0454,0.13199216,1040.2018,0.30434704,-128.16286,-0.69859767,2686.862,0.11011629,1078.9839,0.40797874,-133.09117,-0.6265183,-15.268751,-0.44212624,27.996931,0.32112798,0.009931362,2.5724773,-0.01725656,-0.9564288,0.15276806,0.56482613,31.219166,0.4113634,8.775808,1.6381096,-7.0673246,-2.602203,-4.020016,-3.9764757,-25.349152,37.33433,-0.040201325,0.008831632,0.03952402,1.8761727,1.6435783,0.22528571,0.16301376,0.36285713,0.5780908,-31.878723
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\16CTT.wav,0 days,0 days 00:00:47.993000,28.036917,0.105272904,25.813536,27.494446,30.638155,4.8246193,255.49945,287.21198,33.97456,46.44676,0.051025327,0.4388831,0.038485963,0.040579528,0.06080863,0.022322666,0.5097808,0.471841,0.37780413,0.30965132,0.008688715,0.60265535,7.6250877,1.0451579,16.923786,0.29536968,16.504732,0.36912048,13.31497,0.47495311,0.023532199,1.4629743,1.0150183,0.65564585,6.8786635,0.26926494,8.587613,0.9521398,27.24558,0.20658277,611.8898,0.43113807,1374.0798,0.15790533,-173.33057,-0.36686766,1689.4464,0.16182762,1038.9631,0.32664424,-174.49777,-0.34224492,2739.19,0.110558584,981.42804,0.3223281,-175.01114,-0.33443436,-20.063602,-0.22535726,29.046934,0.16663386,-0.010375456,-2.4519904,0.007236645,1.6041594,0.013959233,0.5122788,21.697721,0.23888913,22.757387,0.31493938,20.361826,0.4578247,14.431955,0.6307962,-13.476225,22.438354,-0.034760863,0.022324694,0.0077241547,1.3338891,0.9180054,0.15886363,0.12737231,0.89,1.7969183,-55.19448
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\22CTT.wav,0 days,0 days 00:00:31.100000,31.576738,0.14794762,30.851099,32.485157,34.00905,3.1579494,235.6169,469.55447,165.58974,286.08783,0.09931208,0.9402169,0.019829871,0.063128464,0.17421514,0.15438527,1.6421643,1.0484124,1.289976,0.8808139,0.04562176,0.9546241,23.070065,0.58960426,19.127989,0.74376756,19.33058,0.6992741,10.815611,1.4699284,0.035469547,2.1824994,1.2319162,0.73985165,6.3782377,0.5312314,9.982903,1.8311912,30.743368,0.51816976,603.33105,0.36715353,1366.4318,0.19762181,-159.38579,-0.467431,1684.7908,0.12532023,978.58246,0.32695156,-161.16333,-0.42752555,2874.859,0.078253575,868.746,0.5720294,-162.59901,-0.4077868,-21.174341,-0.43567434,30.609509,0.32406056,-0.013148344,-1.7767482,-0.003220538,-5.6777663,0.086341016,0.42630592,31.17112,0.3787413,21.50328,0.63653696,25.138638,0.61650556,0.19041528,80.531425,-21.065441,31.885778,-0.041150756,0.012260511,0.03327927,2.2836926,1.8041238,0.12053572,0.10637567,0.42072725,0.80842793,-39.82477
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\28CTT.wav,0 days,0 days 00:00:24.384000,29.112017,0.1735549,26.254742,28.323767,33.223625,6.9688835,640.23065,876.98114,61.563404,69.34994,0.042568948,1.6334091,0.013238303,0.014868402,0.042130828,0.028892525,1.2688484,1.1406622,1.2378345,1.4181927,0.021946281,1.6807127,24.621584,0.43529168,21.783716,0.37843946,14.49491,0.7068015,11.49121,0.91205037,0.031772256,1.3371352,1.4866558,0.5849856,5.9072413,0.3775866,4.5815873,2.0724525,34.325447,0.4517329,763.7536,0.28327227,1420.8672,0.22376198,-180.28053,-0.3037262,1872.5431,0.123521045,1166.4724,0.24625485,-181.26529,-0.2808162,2998.121,0.091588445,1151.6277,0.30235368,-182.0641,-0.2680765,-27.427317,-0.41736794,38.260757,0.34395456,-0.03623285,-0.77510613,-0.011879283,-1.7661666,0.08673417,0.5855356,38.208828,0.3536113,19.686628,0.8796863,24.8683,0.6303894,12.93523,1.4070146,-27.017239,39.430603,-0.038173325,0.011369656,0.012854067,0.656545,0.82236844,0.1405,0.1312431,1.0545,1.7637444,-42.24216
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\34CTT.wav,0 days,0 days 00:00:25.816000,34.02303,0.055966895,32.539677,34.135647,35.526646,2.986969,94.80834,126.66951,17.064032,9.344928,0.09395503,0.5227684,0.04377285,0.08662917,0.13622284,0.09244999,0.82221234,0.4802782,0.6309891,0.3920252,0.013127354,0.5633304,15.293184,0.7616497,10.781165,0.92385125,13.682557,1.0231636,7.8459053,1.2014444,0.01254203,1.4929464,0.8230636,0.5859522,8.844017,0.257957,3.059088,3.3567724,18.10447,0.40061545,527.7517,0.40121666,1309.2511,0.15936303,-106.09734,-0.88076663,1573.9128,0.15767182,962.65356,0.2959367,-104.22438,-0.8529623,2602.7717,0.09384617,985.2529,0.30066463,-107.38009,-0.7990779,-12.812549,-0.39014876,22.15332,0.3024191,0.01004142,1.9390553,0.0031941044,2.929704,0.015845688,0.4360089,23.845406,0.24791709,6.7125072,1.6501973,9.279875,1.7189885,6.873358,1.4148371,-11.2598,19.414537,-0.025591558,0.016701257,0.010083049,2.7131784,1.4757282,0.3497368,0.33130115,0.3154054,0.40262377,-50.118576
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\35CTT.wav,0 days,0 days 00:00:44.964000,25.230824,0.11073362,22.568747,25.13442,27.66709,5.098343,247.81444,288.6755,32.775223,17.00674,0.06141624,0.4615533,0.040028498,0.050397187,0.07948978,0.039461285,0.5795553,0.43154356,0.4896182,0.35427988,0.010961432,0.6719571,11.763719,0.8359176,17.94188,0.38953322,19.056152,0.53022665,9.918943,0.9512137,0.029547421,1.1625414,1.0759418,0.78964317,5.7595687,0.35925758,1.0361727,6.8143067,22.653343,0.2978746,663.95996,0.34191534,1390.0814,0.17242591,-137.99564,-0.61123633,1785.9099,0.118092194,1047.7402,0.26456583,-142.7493,-0.54077727,2796.7964,0.085031316,938.5361,0.36309248,-142.72406,-0.54088527,-21.235409,-0.20580636,29.640852,0.17209744,-0.008812018,-2.6057575,-0.003455912,-4.473708,0.016289786,0.53304553,22.612448,0.29403937,22.899815,0.32922065,23.734337,0.5598083,5.450112,2.120449,-12.993617,21.77759,-0.031182665,0.021170488,0.008113877,2.1802,1.336303,0.25133333,0.20916875,0.49137932,0.7931026,-51.212982
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\40CTT.wav,0 days,0 days 00:00:23.426000,26.995024,0.05793239,25.66378,26.753414,28.505482,2.8417015,53.192223,64.78598,27.121994,14.172517,0.058754437,0.3969488,0.04172796,0.052032694,0.0720472,0.030319236,0.42091218,0.37924787,0.2860204,0.22547714,0.009209881,0.4892654,11.761324,0.6589516,16.86493,0.41901842,12.975899,0.70553654,6.3127584,1.1891631,0.01966978,0.90136236,1.0845942,0.66190594,5.2941294,0.351394,11.649575,0.59880286,26.653624,0.2182636,610.8493,0.35142124,1416.0417,0.15777731,-164.2645,-0.43517753,1686.4342,0.13575748,1090.1962,0.32628742,-165.78436,-0.40893185,2719.7444,0.08784303,990.6255,0.29537565,-166.52875,-0.39813253,-16.050972,-0.34289837,25.300768,0.19634026,-0.011755784,-1.8420417,0.0037115945,3.0760303,0.013367281,0.33926356,21.664682,0.22723618,16.611422,0.6374068,16.506363,0.82836664,6.555354,1.0396638,-13.723264,22.511168,-0.020391606,0.013425617,0.00819071,1.9222555,1.155822,0.16,0.110319406,0.57406247,0.8455725,-55.87906
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\42CTT.wav,0 days,0 days 00:00:25.687000,25.495474,0.15256038,23.34817,25.794334,27.804588,4.456419,292.7375,434.6749,34.677048,28.544756,0.29030102,1.0408828,0.02828912,0.17169638,0.5687567,0.54046756,5.909941,4.084236,4.0463357,2.989462,0.17095749,0.9380311,30.503994,0.48472902,13.459217,0.99334574,19.058857,0.80488795,12.042627,0.8926165,0.023646928,2.722166,1.0963027,0.80607957,4.9486675,0.5366999,9.490571,1.6133475,29.1889,0.46296203,558.4431,0.36339134,1361.5671,0.1505744,-128.95564,-0.6872501,1656.5454,0.15333706,1047.9617,0.31598377,-132.69267,-0.6239562,2672.0786,0.13470732,979.5424,0.35013807,-133.66876,-0.611286,-20.51101,-0.40273342,24.620163,0.39555082,-0.022433028,-0.94706225,-0.019839726,-0.67689776,0.28971627,0.47077015,40.814713,0.20347856,9.710665,1.6828882,24.696362,0.65483016,13.245113,0.8384527,-24.076822,35.61725,-0.04702967,0.007568615,0.09612899,2.2594469,1.8359376,0.20276596,0.16773462,0.32826087,0.504632,-26.47715
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\51CTT.wav,0 days,0 days 00:01:40,29.637081,0.23957308,27.027527,30.66499,34.56302,7.535492,602.84283,628.5555,110.73724,132.62326,0.24800038,1.2369189,0.0301731,0.09323353,0.45618874,0.42601565,7.106032,4.8927994,4.9261956,3.884472,0.15169635,1.1782398,25.794247,0.58017665,19.282558,0.7557379,17.941523,0.7505946,8.255236,1.8197601,0.027122619,1.697307,1.3081782,0.663874,5.098738,0.8523707,9.696251,2.195919,29.738417,0.40334502,618.7222,0.35282648,1347.015,0.15988387,-153.25047,-0.5047511,1700.7081,0.14847046,1061.9186,0.35065892,-154.6383,-0.46948904,2820.2358,0.08382958,907.8024,0.42368484,-156.05147,-0.45013064,-19.826984,-0.4963384,29.645369,0.3799441,-0.019869829,-1.4916495,-0.016455637,-1.142267,0.3079604,0.57193464,32.84619,0.37983078,15.878175,1.0653038,21.774305,0.8031785,-1.6804056,-9.922079,-22.708118,33.40521,-0.04790073,0.0059692976,0.09395273,1.7801781,2.1212728,0.11613207,0.105665654,0.33723807,0.5938943,-28.142689
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-2\53CTT.wav,0 days,0 days 00:00:29,24.130583,0.08076733,22.353474,24.087677,26.177309,3.8238354,106.42043,180.52121,18.916206,9.385934,0.06795416,0.57205737,0.044611804,0.047054883,0.09144339,0.046831585,0.8137882,0.48850954,0.5904347,0.42786103,0.008045144,0.7235635,4.0640326,2.9573262,10.958356,0.7236456,10.861241,0.96352285,6.705718,1.0554723,0.012241955,0.8950582,0.77383274,0.9466419,6.0816827,0.3292211,4.498408,2.224087,21.39813,0.4330541,586.1346,0.3516234,1322.1206,0.15451093,-156.02106,-0.49842587,1659.6763,0.1608386,943.4244,0.33659402,-157.90828,-0.467466,2669.8806,0.0939812,934.06995,0.31484053,-158.41386,-0.46022445,-15.706069,-0.3687436,24.34557,0.27697995,-0.007882588,-2.2739518,-0.0058852476,-2.5563169,0.014114221,0.46389362,21.371096,0.35425335,17.219896,0.6181281,17.679384,0.9250436,3.67533,2.7184172,-7.1430683,16.546928,-0.019055692,0.023792146,0.0061058206,1.5867541,1.0366275,0.227,0.13369493,0.69419354,1.028236,-52.422604
